"last_name, first_name",player_id,year,p_formatted_ip,pa,hit,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,p_earned_run,p_run,p_out,p_win,p_loss,p_era,p_lob,p_rbi,p_ab_scoring,p_called_strike,p_swinging_strike,p_total_ball,p_total_strike,p_total_swinging_strike,p_inh_runner,xba,xslg,woba,xwoba,xobp,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cu_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,n_si_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,st_avg_speed,st_avg_spin,st_avg_break_x,st_avg_break_z
"Pivetta, Nick",601713,2024,145.2,595,128,28,172,28.9,6.1,0.231,0.439,0.277,0.716,67,70,437,6,12,4.14,86,62,92,386,254,801,1586,269,1,0.22,0.406,0.306,0.291,0.268,38.9,10.1,8,38.9,79.2257587,93.96201671,25.6,50.3,48.5,93.9,2311,-4,-11.2,1.3,3.5,83.9,2425,3.7,-43.9,,,,,,16.3,80,2814,7.8,-58.2,0.1,92.7,2236,-5.6,-11.2,5.9,88.3,2341,4.6,-28.3,,,,,,,,,,,82.4,2477,13.6,-36.4
"Walker, Taijuan",592836,2025,123.2,538,132,21,86,16,7.8,0.27,0.444,0.331,0.775,56,62,371,5,8,4.08,108,56,102,359,150,773,1288,154,3,0.26,0.424,0.337,0.326,0.323,32.3,7.4,7.1,41.4,79.17465274,94.26553494,18.5,45.1,9.5,92.2,2128,-9.1,-15.1,1.3,11.3,83.6,2467,6.8,-33.8,,,,,,6.5,74.9,2420,6.8,-59.2,20.2,92,1963,-14.7,-19.9,30.1,87.1,2434,3,-23.1,22.5,87.4,1454,-12.4,-31.9,,,,,,,,,
"Nelson, Ryne",669194,2025,154,619,124,17,132,21.3,6.6,0.217,0.381,0.273,0.654,58,62,462,7,3,3.39,98,56,98,371,224,853,1613,233,1,0.246,0.4,0.284,0.305,0.3,36.2,7.5,8.4,45.5,81.99015664,94.98451966,21.6,50.4,61.9,95.7,2270,-3.2,-10.8,1.3,12.1,86.3,2415,5.2,-36,2.8,87,1799,-13.1,-23.5,10.9,80,2568,7.8,-51.2,,,,,,12.2,90.5,2227,2.4,-26.3,,,,,,,,,,,,,,
"Liberatore, Matthew",669461,2025,151.2,648,158,19,122,18.8,6.2,0.266,0.423,0.313,0.736,71,79,455,8,12,4.21,113,66,122,403,194,834,1554,212,0,0.275,0.458,0.318,0.339,0.324,36.3,10.6,5,41.1,80.50617447,94.74102241,20.2,48.2,29.6,93.9,2113,7.2,-14.7,1.5,21.1,86.4,2689,-4,-35.2,12.4,88.5,1803,15.1,-25,15.8,77.4,2964,-9.6,-64.3,10.7,94,2101,12.9,-17,10.5,90.2,2502,-2,-22.7,,,,,,,,,,,,,,
"Corbin, Patrick",571578,2025,155.1,663,161,21,131,19.8,7.7,0.267,0.43,0.326,0.756,76,79,466,7,11,4.4,110,71,141,415,276,974,1614,300,0,0.269,0.431,0.328,0.334,0.331,34.7,8.4,6.5,40.4,78.28724648,94.30191262,26.9,46.3,3.3,91.5,2145,8.8,-17.9,1.3,33.5,80.4,2229,-2.4,-42.1,9.2,81.5,1524,12.6,-32.8,0.6,68.7,1913,-2.7,-61.3,28.2,91.6,2091,15.3,-22,25.2,87.5,2324,-0.9,-29.2,,,,,,,,,,,,,,
"Abbott, Andrew",671096,2025,166.1,684,148,19,149,21.8,6.3,0.235,0.374,0.285,0.659,53,60,499,10,7,2.87,124,55,121,434,284,904,1773,294,0,0.235,0.378,0.288,0.294,0.288,34.8,8,5.9,33.7,77.083824,93.25435499,24,50,47.2,92.8,2275,9.1,-15.7,1.2,,,,,,19.6,84.8,1984,15.2,-27.8,15.1,81,2800,-10,-44.8,,,,,,4.3,88.6,2501,-0.5,-26.2,,,,,,,,,,,82.8,2782,-11.4,-36.7
"Miller, Bryce",682243,2024,180.1,704,131,21,171,24.3,6.4,0.2,0.338,0.254,0.592,59,62,541,12,8,2.94,106,53,101,446,286,959,1790,303,0,0.229,0.406,0.26,0.299,0.282,32.8,9.7,6.6,41.2,80.65022217,94.32814163,24.4,48.9,42.1,95.2,2484,-6.3,-11.9,1,8.3,86.6,2541,3.2,-34.9,,,,,,4.5,85,2332,1.7,-44.6,17.3,94.7,2406,-15.9,-19.6,2.3,92.1,2552,0.3,-18.6,17.1,84.4,912,-9.9,-38.2,,,,,,82.4,2258,14.8,-45.7
"Gomber, Austin",596295,2024,165,696,178,30,116,16.7,5.5,0.273,0.482,0.312,0.794,87,89,495,5,12,4.75,110,87,142,458,203,897,1725,227,0,0.277,0.482,0.339,0.344,0.317,37.7,9.6,8.5,41.2,80.0362653,94.43249207,19.9,48.3,40.4,90.4,2180,7.6,-16.4,1.5,16.7,83.8,2409,-5.1,-35.3,20.5,81.1,1664,10.1,-31,22.4,77.6,2555,-7.5,-56.3,0,90.2,2082,14.7,-18.5,,,,,,,,,,,,,,,,,,,
"Parker, Mitchell",680730,2024,151,646,154,18,133,20.6,6.7,0.259,0.408,0.309,0.717,72,82,453,7,10,4.29,104,72,121,370,235,799,1605,248,0,0.256,0.434,0.311,0.322,0.308,35.3,8.1,7.9,38.9,79.5093507,94.14067282,22.3,51.4,48.6,92.5,2191,5.2,-14.4,1.3,9.8,84.5,2295,-5.7,-34.7,,,,,,22.5,80.5,2266,-2.4,-50,,,,,,,,,,,19.1,85.6,1000,6.9,-29.1,,,,,,,,,
"Wheeler, Zack",554430,2024,200,787,139,20,224,28.5,6.6,0.192,0.328,0.253,0.581,57,62,600,16,7,2.57,134,59,129,451,388,1078,2056,406,0,0.197,0.328,0.256,0.261,0.258,32.6,8.3,5.4,33.6,74.93491968,93.04672804,27.5,51.2,41.4,95.3,2431,-9.5,-15.5,1.2,,,,,,,,,,,10.1,81.8,2716,8.6,-49.8,19,94.6,2271,-17.2,-23.9,9.6,91.1,2531,0.9,-24.3,7.3,86.2,1555,-12.8,-31.4,,,,,,85,2571,9.8,-33.9
